question_id,category,prompt,expected_output
M10,Math,"A regional agricultural warehouse manages inventory across three separate silos: Silo A, Silo B, and Silo C. Silo A holds 1,200 metric tons of grain with a moisture content of 10%. Silo B holds 1,800 metric tons of grain with a moisture content of 15%. Silo C holds 2,000 metric tons of grain with a moisture content of 20%. The facility manager decides to blend all the grain from Silo A, Silo B, and Silo C into a single primary holding vessel. What is the exact average moisture percentage of the resulting 5,000 metric ton grain blend?",15.8%
C01,Coding,"Write a Python expression that reverses the string variable `s`.",s[::-1]
C02,Coding,"What is the time complexity of searching for a key in a Python dictionary on average? State only the Big-O notation.",O(1)
C03,Coding,"Write a single-line Python lambda function assigned to variable `f` that takes an integer x and returns True if x is even and False if x is odd.",f = lambda x: x % 2 == 0
C04,Coding,"Identify the bug in this Python snippet: `def add_item(item, lst=[]): lst.append(item); return lst`. State the key issue in 5 words or fewer.",Mutable default argument
C05,Coding,"A developer wrote the following Python function to compute the nth Fibonacci number recursively: `def fib(n): if n <= 1: return n; return fib(n-1) + fib(n-2)`. What is the tight worst-case time complexity of this unoptimized recursive implementation? Output strictly the Big-O notation.",O(2^n)
C06,Coding,"What Python built-in function returns both the index and value of items in an iterable during loop iteration?",enumerate
C07,Coding,"Write a Python list comprehension that filters a list of integers `nums` to contain only positive numbers.", [x for x in nums if x > 0]
C08,Coding,"Which Python standard library module should be used to parse command-line flags and arguments passed to a script?",argparse
C09,Coding,"Consider the following Python code snippet intended to format data: `data = [{'name': 'Alice', 'score': 85}, {'name': 'Bob', 'score': 92}]; print(max(data, key=lambda x: x['score'])['name'])`. What exact string output is printed to stdout when this script runs?",Bob
C10,Coding,"Review the following Python class definition for an in-memory Key-Value store with TTL support: `class KVStore: def __init__(self): self.store = {} def set(self, k, v): self.store[k] = v def get(self, k): return self.store.get(k, None)`. Identify the method missing from this implementation that is required to delete a key from the dictionary. Output strictly the name of the built-in dictionary deletion keyword or method.",del
K01,Knowledge,"What chemical element has the atomic number 1?",Hydrogen
K02,Knowledge,"In what year did the Apollo 11 moon landing occur?",1969
K03,Knowledge,"Which biological organelle is known as the powerhouse of the cell?",Mitochondria
K04,Knowledge,"Identify the historic treaty signed in 1648 that ended the Thirty Years' War in Europe.",Peace of Westphalia
K05,Knowledge,"Identify the scientific discovery described: In 1928, Alexander Fleming observed that a mold growing on a Petri dish inhibited the growth of Staphylococcus bacteria. What primary antibiotic drug was derived from this mold?",Penicillin
K06,Knowledge,"What is the capital city of Australia?",Canberra
K07,Knowledge,"Which planet in our solar system has the highest surface temperature?",Venus
K08,Knowledge,"Who authored the 1859 scientific publication 'On the Origin of Species'?",Charles Darwin
K09,Knowledge,"Read the following summary of a physical phenomenon: When light waves pass through a narrow slit or around an obstacle, they bend and spread out, creating fringe patterns of constructive and destructive interference. What single physics term describes this wave behavior?",Diffraction
K10,Knowledge,"Read the historical context: In July 1944, delegates from 44 Allied nations gathered at a hotel in New Hampshire, United States, to establish a framework for post-World War II international financial order. This conference led directly to the creation of the International Monetary Fund (IMF) and the International Bank for Reconstruction and Development (IBRD). What is the common name of this historic international conference?",Bretton Woods Conference
D01,Extraction,"Extract the phone number from this text: 'Contact support at support@corp.com or call 555-0199 for assistance.'",555-0199
D02,Extraction,"Extract the invoice total amount from this text: 'Invoice #4021 - Status: Paid - Subtotal: $400.00 - Tax: $32.00 - Total Due: $432.00'",$432.00
D03,Extraction,"Extract the IP address causing the error from this log: '2026-09-12 10:14:02 [ERROR] Connection timed out while connecting to host 192.168.1.105 on port 8080.'",192.168.1.105
D04,Extraction,"Extract the tracking number from this confirmation message: 'Your package has shipped via FedEx! Track your shipment using code FX-987654321-US before Friday.'",FX-987654321-US
D05,Extraction,"Extract the patient's primary diagnosis from this clinical note: 'PATIENT: John Doe, AGE: 54. PRESENTING SYMPTOMS: Acute chest pain, shortness of breath. ASSESSMENT: Electrocardiogram indicates acute myocardial infarction. PLAN: Transfer immediately to cardiac care unit.'",acute myocardial infarction
D06,Extraction,"Extract the promo code from this email text: 'Use code SAVE20 at checkout to get 20% off your purchase.'",SAVE20
D07,Extraction,"Extract the scheduled meeting date from this message: 'The team sync has been moved from Monday to Thursday, October 15th at 2:00 PM EST.'",October 15th
D08,Extraction,"Extract the governing legal jurisdiction state from this clause: 'This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without giving effect to any principles of conflicts of law.'",Delaware
D09,Extraction,"Extract the exact Q3 Net Revenue value from the following corporate earnings release transcript excerpt: 'ACME Corporation (NASDAQ: ACME) today announced financial results for the third quarter ended September 30. Executive Summary: Total gross billings reached $45,000,000. Cost of goods sold accounted for $12,000,000. Operational expenses totaled $8,500,000. Q3 Net Revenue was recorded at $33,000,000, reflecting a 12% increase year-over-year. Free cash flow stood at $5,200,000 at the end of the reporting period.'","$33,000,000"
D10,Extraction,"Extract the exact failing module name from the following server diagnostic stack trace excerpt: '2026-09-19T14:22:01.402Z [SYS_WARN] System memory allocation at 84% capacity. 2026-09-19T14:22:02.115Z [AUTH_SERVICE] Token validation successful for user_id=8921. 2026-09-19T14:22:03.001Z [CRITICAL] Exception in thread main java.lang.NullPointerException at com.app.pipeline.PaymentProcessor.executeTransaction(PaymentProcessor.java:142). Module Failure Source: PaymentProcessor. Script execution terminated abnormally.'",PaymentProcessor
